Date,Open,High,Low,Close,Volume,Adj Close
2009-10-22,108.190002,109.68,107.50,109.330002,238444000,95.770298
2009-10-21,109.040001,110.309998,108.150002,108.230003,225379300,94.806727
2009-10-20,109.949997,109.989998,108.68,109.209999,180921100,95.665178
2009-10-19,109.07,110.129997,108.730003,109.790001,159530400,96.173245
2009-10-16,108.800003,109.269997,108.230003,108.889999,192069400,95.384867
2009-10-15,108.779999,109.709999,108.730003,109.709999,173873600,96.103166
2009-10-14,108.720001,109.419998,107.419998,109.309998,191421600,95.752774
2009-10-13,107.389999,107.709999,106.760002,107.459999,157692700,94.132223
2009-10-12,107.760002,108.089996,107.279999,107.68,118031000,94.324938
2009-10-09,106.639999,107.260002,106.360001,107.260002,135008300,93.957031
2009-10-08,106.550003,107.169998,105.849998,106.610001,183305800,93.387646
2009-10-07,105.269997,105.910004,105.07,105.800003,159200300,92.678109
2009-10-06,104.769997,106.110001,104.709999,105.510002,202491100,92.424075
2009-10-05,102.900002,104.32,102.599998,104.019997,149875000,91.118868
2009-10-02,102.019997,103.099998,101.989998,102.489998,224748800,89.778628
2009-10-01,103.00,105.730003,102.949997,102.970001,281840600,90.199099
2009-09-30,106.360001,106.459999,104.620003,105.589996,254383000,92.494148
2009-09-29,106.510002,107.019997,105.779999,106.00,133733900,92.853301
2009-09-28,104.849998,106.550003,104.830002,106.32,118285800,93.133612
2009-09-25,104.779999,105.360001,104.089996,104.449997,204059000,91.495538
2009-09-24,106.410004,106.639999,104.550003,105.010002,228636800,91.986088
2009-09-23,107.32,108.029999,105.989998,106.18,225947400,93.010976
2009-09-22,107.080002,107.370003,106.599998,107.07,143126700,93.790593
2009-09-21,105.889999,107.00,105.660004,106.449997,151892000,93.247487
2009-09-18,107.150002,107.160004,106.360001,106.720001,153799100,93.484004
2009-09-17,107.169998,108.059998,106.57,107.160004,229170900,93.424436
2009-09-16,106.099998,107.339996,105.730003,107.32,206406300,93.563924
2009-09-15,105.449997,106.110001,104.760002,105.720001,196795900,92.16901
2009-09-14,103.879997,105.459999,103.150002,105.279999,149593800,91.785406
